Time,CPU Usage (%),CPU1 Temp (°C),CPU2 Temp (°C),Power Draw,Voltage,Current
2026/02/12 04:02:35 PM,35.4,56,56,125.2,232.3,00.56
2026/02/12 04:03:05 PM,100,57,59,124.7,232.3,09.18
2026/02/12 04:03:36 PM,15.2,59,58,134.6,232.1,10.01
2026/02/12 04:04:06 PM,16.9,55,60,129.3,232.3,09.38
2026/02/12 04:04:36 PM,44.6,58,57,120,231.9,09.19
2026/02/12 04:05:06 PM,25.8,59,56,126,232,09.18
2026/02/12 04:05:37 PM,23.9,54,60,125.4,232.1,09.21
2026/02/12 04:06:07 PM,88.9,57,59,127.5,231.8,09.22
2026/02/12 04:06:37 PM,100,56,57,125.6,231.9,09.23
2026/02/12 04:07:07 PM,100,59,58,133.3,231.9,09.55
2026/02/12 04:07:38 PM,73.4,57,57,124.3,231.8,09.16
2026/02/12 04:08:08 PM,24.2,55,58,122.3,231.8,09.08
2026/02/12 04:08:38 PM,23.1,60,57,122.6,232.1,09.04
2026/02/12 04:09:08 PM,4.5,55,58,123.7,232.1,00.54
2026/02/12 04:09:39 PM,21.5,58,55,124.1,231.8,09.14
2026/02/12 04:10:09 PM,20,57,58,122,231.6,09.08
2026/02/12 04:10:39 PM,19.4,59,57,128.5,231.8,09.35
2026/02/12 04:11:10 PM,40,58,55,122.2,232,09.07
2026/02/12 04:11:40 PM,40.9,55,56,127.1,232.3,09.51
2026/02/12 04:12:10 PM,20.3,59,58,128.5,231.9,10.08
2026/02/12 04:12:41 PM,56.9,58,56,129,231.8,09.48
2026/02/12 04:13:11 PM,31.2,60,58,129.3,231.9,09.38
2026/02/12 04:13:41 PM,33.3,59,57,126.4,232.1,09.25
2026/02/12 04:14:12 PM,31.2,59,57,127.2,232,09.29
2026/02/12 04:14:42 PM,29.2,58,58,123.9,231.9,09.08
2026/02/12 04:15:12 PM,27.7,57,58,121.1,232,09.08
2026/02/12 04:15:42 PM,21.2,59,56,123.5,231.9,09.11
2026/02/12 04:16:13 PM,27.7,56,55,121,231.8,09.15
2026/02/12 04:16:44 PM,31.2,56,56,120.1,232,09.01
2026/02/12 04:17:14 PM,32.3,58,56,121.7,231.9,09.03
2026/02/12 04:17:45 PM,20,55,58,125.8,231.6,09.26
2026/02/12 04:18:15 PM,12.1,58,57,124,231.7,09.16
2026/02/12 04:18:45 PM,20,57,58,126.4,232,09.26
2026/02/12 04:19:16 PM,50,58,58,129,232.1,09.36
2026/02/12 04:19:46 PM,37.5,58,57,128.9,231.6,09.29
2026/02/12 04:20:16 PM,21.9,57,59,126.3,231.9,09.35
2026/02/12 04:20:46 PM,18.5,57,57,121.3,231.7,00.56
2026/02/12 04:21:17 PM,24.2,57,57,124,231,09.32
2026/02/12 04:21:47 PM,30.3,56,55,128.4,231.3,09.36
2026/02/12 04:22:17 PM,21.5,57,56,126,231.7,09.25
2026/02/12 04:22:48 PM,44.6,56,58,124.6,231.8,09.18
2026/02/12 04:23:18 PM,17.2,58,56,122.3,230.7,09.24
2026/02/12 04:23:48 PM,20,58,56,122.2,231.3,09.09
2026/02/12 04:24:18 PM,22.7,55,56,122.1,231.7,09.11
2026/02/12 04:24:49 PM,26.2,56,57,124.1,231.7,09.17
2026/02/12 04:25:19 PM,27.7,59,56,125.9,231.2,09.25
2026/02/12 04:25:49 PM,78.5,56,59,130.6,231.3,09.44
2026/02/12 04:26:20 PM,25.4,59,58,127.2,232,09.29
2026/02/12 04:26:50 PM,16.7,58,57,125.7,232.6,09.33
2026/02/12 04:27:20 PM,13.6,55,57,123.8,232.2,09.09
2026/02/12 04:27:50 PM,61.5,55,56,128.4,232.1,09.23
2026/02/12 04:28:21 PM,36.9,54,58,126.6,231.9,09.27
2026/02/12 04:28:53 PM,9,57,55,120.8,232.2,09.02
2026/02/12 04:29:23 PM,36.4,57,57,121.2,231.8,09.05
2026/02/12 04:29:54 PM,56.1,56,57,126,232.1,09.24
2026/02/12 04:30:24 PM,34.4,59,57,128.1,231.7,10.14
2026/02/12 04:30:54 PM,78.8,59,53,128.4,231.7,09.19
2026/02/12 04:31:25 PM,16.9,57,56,123.9,231.6,09.14
2026/02/12 04:31:55 PM,27.7,58,57,122.7,231.8,00.55
2026/02/12 04:32:25 PM,21.2,57,55,120.5,231.6,09.02
2026/02/12 04:32:55 PM,12.3,57,55,124.3,231.3,09.19
2026/02/12 04:33:26 PM,15.4,57,56,121.4,231.6,09.21
2026/02/12 04:33:56 PM,12.1,55,56,123.6,231.4,09.13
2026/02/12 04:34:26 PM,9.1,57,55,124.2,231.3,09.12
2026/02/12 04:34:57 PM,31.8,54,57,125.8,231,09.18
2026/02/12 04:35:27 PM,27.7,56,54,125.4,231.3,09.23
2026/02/12 04:35:57 PM,23.2,55,56,124.3,231.8,09.17
2026/02/12 04:36:27 PM,27.7,55,57,126.6,231,09.28
2026/02/12 04:36:58 PM,54.5,57,55,125.3,231.5,09.22
2026/02/12 04:37:28 PM,27.7,54,57,124.3,231.5,09.26
2026/02/12 04:37:58 PM,13.8,57,54,128.3,231.5,09.08
2026/02/12 04:38:29 PM,28.1,58,54,125.6,231.4,09.06
2026/02/12 04:38:59 PM,18.2,58,56,131.7,231.2,09.49
2026/02/12 04:39:29 PM,68.8,57,57,129.1,231.1,09.39
2026/02/12 04:39:59 PM,66.2,58,56,132.5,231,09.57
2026/02/12 04:40:32 PM,20,55,58,126.2,231.1,00.58
2026/02/12 04:41:02 PM,47.7,56,57,126.5,231.1,09.28
2026/02/12 04:41:36 PM,42.2,59,56,130.3,231.3,09.43
2026/02/12 04:42:06 PM,46.2,59,57,127.4,231.4,09.31
