Time,CPU Usage (%),CPU1 Temp (°C),CPU2 Temp (°C),Power Draw,Voltage,Current
2026/02/05 09:20:16 PM,19.1,51,47,126.9,235.9,09.31
2026/02/05 09:20:46 PM,57.6,53,55,130.5,235.6,08.51
2026/02/05 09:21:17 PM,18.5,49,53,117.5,233,08.51
2026/02/05 09:21:47 PM,36.8,55,53,126.5,233,08.54
2026/02/05 09:22:17 PM,28.1,47,51,117.7,232.6,08.57
2026/02/05 09:22:48 PM,19.4,48,52,127.1,232.6,09.38
2026/02/05 09:23:24 PM,40,49,50,126.8,232.3,09.31
2026/02/05 09:23:57 PM,11.9,49,51,115.2,232.5,08.46
2026/02/05 09:24:28 PM,12.5,51,49,119.6,232.5,09.05
2026/02/05 09:24:58 PM,27,48,53,120.5,232.6,09.08
2026/02/05 09:25:28 PM,39.7,51,51,118.8,232.2,09.01
2026/02/05 09:25:58 PM,30.8,52,51,122.2,232.2,09.45
2026/02/05 09:26:29 PM,68.2,54,51,114,232.1,08.47
2026/02/05 09:26:59 PM,15.2,47,49,114.8,232.6,08.44
2026/02/05 09:27:29 PM,18.2,49,51,125.7,232.7,09.32
2026/02/05 09:28:00 PM,10.6,51,47,112.3,232.1,08.33
2026/02/05 09:28:30 PM,13.6,47,50,113.3,232.3,08.38
2026/02/05 09:29:00 PM,68.1,55,55,124.5,232.2,00.53
2026/02/05 09:29:30 PM,19.7,47,51,114.8,232.4,08.32
2026/02/05 09:30:01 PM,20,51,48,114.5,232.3,08.42
2026/02/05 09:30:32 PM,52.3,51,48,116.3,232.4,08.51
2026/02/05 09:31:02 PM,27.7,48,49,115.9,232.5,09.23
2026/02/05 09:31:34 PM,57.8,53,53,117.5,232.2,09.01
2026/02/05 09:32:05 PM,22.4,52,50,113.3,232.7,08.37
2026/02/05 09:32:37 PM,40.9,52,54,123.1,232.6,09.22
2026/02/05 09:33:08 PM,33.3,49,51,113.8,232.7,00.52
2026/02/05 09:33:40 PM,12.1,51,49,115.3,232.5,08.46
2026/02/05 09:34:11 PM,49.2,50,50,118.3,232.3,09.09
2026/02/05 09:34:43 PM,47.8,55,54,125.5,231.9,09.34
2026/02/05 09:35:14 PM,54.5,48,51,118.7,232.2,09.02
2026/02/05 09:35:46 PM,48.5,48,52,119.9,232.4,09.07
2026/02/05 09:36:16 PM,33.3,52,50,118.6,232.5,08.53
2026/02/05 09:36:49 PM,10.9,47,51,115.9,232.5,08.39
2026/02/05 09:37:19 PM,16.2,50,50,115.8,232.5,08.49
2026/02/05 09:37:52 PM,16.9,52,49,127.3,232.5,00.58
2026/02/05 09:38:22 PM,4.6,46,48,126.4,232.5,09.41
2026/02/05 09:38:55 PM,35.8,54,52,113.5,232.6,08.52
2026/02/05 09:39:25 PM,25.8,52,48,118.7,232.7,09.01
2026/02/05 09:39:58 PM,47,56,54,127.1,232.6,09.39
2026/02/05 09:40:28 PM,17.9,50,48,115.1,233,00.54
2026/02/05 09:41:01 PM,23.1,51,48,114.5,232.8,08.57
2026/02/05 09:41:31 PM,13.6,49,48,114.3,232.8,08.42
2026/02/05 09:42:04 PM,15.4,47,46,115.9,232.9,08.47
2026/02/05 09:42:34 PM,21.5,47,48,123.3,233,09.22
2026/02/05 09:43:06 PM,23.2,54,54,114.7,232.8,08.38
2026/02/05 09:43:37 PM,17.9,51,47,115.1,233,08.45
2026/02/05 09:44:09 PM,30.3,48,51,116.1,233.1,08.49
2026/02/05 09:44:40 PM,34.8,52,52,114.4,232.7,08.41
2026/02/05 09:45:12 PM,22.7,47,49,112.4,233,08.44
2026/02/05 09:45:42 PM,9.4,50,48,113.6,233.1,08.54
2026/02/05 09:46:15 PM,29,52,49,115.9,233.2,08.48
2026/02/05 09:46:45 PM,31.8,51,54,116.2,233.3,08.49
2026/02/05 09:47:18 PM,19.7,55,51,122.8,233.5,08.36
2026/02/05 09:47:48 PM,68.8,51,47,113.7,233.6,09.07
2026/02/05 09:48:21 PM,16.9,50,48,113.5,233.3,08.37
2026/02/05 09:48:51 PM,30.9,53,49,121.3,233.6,09.11
2026/02/05 09:49:24 PM,16.7,50,50,114.7,233.6,08.41
2026/02/05 09:49:54 PM,43.1,49,48,127.8,233.6,09.07
