Time,CPU Usage (%),CPU1 Temp (°C),CPU2 Temp (°C),Power Draw,Voltage,Current
2026/02/25 06:43:09 PM,27,58,57,118.3,233.2,0.59
2026/02/25 06:43:39 PM,45.6,60,56,120.3,233.2,0.598
2026/02/25 06:44:10 PM,27.3,59,57,115.2,232.9,0.568
2026/02/25 06:44:40 PM,32.8,56,58,115.6,233.5,0.586
2026/02/25 06:45:11 PM,38.5,57,58,118.3,233.7,0.59
2026/02/25 06:45:41 PM,27,57,57,117.3,233.8,0.594
2026/02/25 06:46:11 PM,39.1,58,58,117.9,233.8,0.588
2026/02/25 06:46:42 PM,12.1,59,56,113.8,233.5,0.571
2026/02/25 06:47:12 PM,17.2,58,55,113.7,233.6,0.572
2026/02/25 06:47:42 PM,51.6,57,58,118,233.6,0.591
2026/02/25 06:48:13 PM,42.4,57,57,117.9,233.4,0.593
2026/02/25 06:48:43 PM,51.6,60,56,120.6,233.7,0.6
2026/02/25 06:49:14 PM,78.1,57,59,121.3,234.1,0.602
2026/02/25 06:49:44 PM,36.5,59,60,125.7,234.1,0.62
2026/02/25 06:50:14 PM,87.5,57,57,123.3,233.9,0.597
2026/02/25 06:50:45 PM,30.3,58,60,121.8,233.4,0.604
2026/02/25 06:51:16 PM,53.8,61,59,119.2,233.4,0.594
2026/02/25 06:51:46 PM,48.4,60,56,117.3,233.8,0.585
2026/02/25 06:52:16 PM,28.6,60,57,119.2,233.5,0.595
2026/02/25 06:52:47 PM,26.9,59,60,118.6,234,0.59
2026/02/25 06:53:18 PM,4.7,56,59,114.5,233.9,0.573
2026/02/25 06:53:48 PM,25.8,61,55,113.5,233.5,0.571
2026/02/25 06:54:21 PM,28.1,60,57,119.1,233.4,0.6
2026/02/25 06:54:51 PM,26.2,61,57,113.7,233.4,0.571
2026/02/25 06:55:24 PM,57.8,59,57,118.1,233.8,0.588
2026/02/25 06:55:54 PM,50.8,57,56,120.1,233.8,0.604
2026/02/25 06:56:26 PM,27.4,61,60,123.1,233.7,0.622
2026/02/25 06:56:57 PM,53.7,57,59,120.4,233.8,0.605
2026/02/25 06:57:29 PM,26.6,57,59,112.9,233.4,0.568
2026/02/25 06:58:00 PM,34.4,57,59,115,233.1,0.577
2026/02/25 07:09:40 PM,21.5,55,55,113,233.2,0.571
2026/02/25 07:10:11 PM,33.3,58,54,115.8,233.6,0.579
2026/02/25 07:10:41 PM,24.2,59,56,114.5,233.5,0.574
2026/02/25 07:11:12 PM,32.3,56,57,116.3,233.4,0.582
2026/02/25 07:11:42 PM,39.7,59,55,115.8,233.7,0.579
2026/02/25 07:12:12 PM,15.2,59,54,113.4,233.8,0.562
2026/02/25 07:12:42 PM,16.7,58,56,117.3,233.7,0.591
2026/02/25 07:13:13 PM,18.2,58,55,117,233.8,0.567
2026/02/25 07:13:43 PM,31.8,59,54,117.8,233.6,0.588
2026/02/25 07:14:16 PM,60.6,56,56,119.1,233.7,0.592
2026/02/25 07:14:46 PM,12.3,58,56,112.7,233.7,0.583
2026/02/25 07:15:18 PM,30.8,60,56,115.1,233.6,0.573
2026/02/25 07:15:49 PM,26.6,58,59,115.9,234,0.582
2026/02/25 07:16:21 PM,26.2,55,56,115.1,233.7,0.576
2026/02/25 07:16:52 PM,27.7,54,58,110.3,234.1,0.555
2026/02/25 07:17:24 PM,34.4,56,58,113.4,234,0.56
2026/02/25 07:17:54 PM,16.7,54,58,112.8,233.9,0.567
2026/02/25 07:18:27 PM,13.6,57,56,111.3,233.8,0.559
2026/02/25 07:18:57 PM,32.3,55,58,111.8,233.7,0.562
2026/02/25 07:19:30 PM,22.4,55,57,110.8,233.9,0.558
2026/02/25 07:20:00 PM,29.2,55,55,113,234,0.586
2026/02/25 07:20:33 PM,40,59,57,118.9,234,0.603
2026/02/25 07:21:03 PM,63.6,59,59,121.1,233,0.603
2026/02/25 07:22:51 PM,66.7,56,55,120.5,233.5,0.599
2026/02/25 07:23:22 PM,25.8,59,58,114.5,233.4,0.574
2026/02/25 07:23:52 PM,10.8,58,56,115.1,233.5,0.567
2026/02/25 07:24:22 PM,11.9,58,56,112.6,233.1,0.56
2026/02/25 07:24:53 PM,32.3,59,58,117.9,233.5,0.584
2026/02/25 07:25:23 PM,84.4,59,56,120.2,233.6,0.59
2026/02/25 07:25:53 PM,76.9,58,55,115.4,233.8,0.577
2026/02/25 07:26:24 PM,20.6,55,57,116.1,233.7,0.58
2026/02/25 07:26:54 PM,10.6,56,58,115.6,233.9,0.567
2026/02/25 07:27:25 PM,22.7,55,57,112.7,233.9,0.567
2026/02/25 07:27:55 PM,16.7,59,55,113.4,233.9,0.563
2026/02/25 07:28:25 PM,15.6,55,57,114.8,234.3,0.574
2026/02/25 07:28:57 PM,27.3,58,56,114.5,234.1,0.579
2026/02/25 07:29:27 PM,36.4,59,56,114,233.9,0.572
2026/02/25 07:30:00 PM,68.8,60,58,117.2,234.3,0.584
2026/02/25 07:30:30 PM,37.3,58,58,,,
2026/02/25 07:31:18 PM,21.9,59,56,,,
2026/02/25 07:31:52 PM,32.3,59,57,,,
2026/02/25 07:32:40 PM,47.7,59,58,121.5,234.5,0.602
2026/02/25 07:33:12 PM,37.5,58,56,118.6,234.4,0.589
2026/02/25 07:33:42 PM,23.4,59,60,118.6,234.7,0.589
2026/02/25 07:34:12 PM,23.8,60,57,117.9,234.9,0.583
2026/02/25 07:34:43 PM,33.3,59,59,123.5,234.2,0.609
2026/02/25 07:35:13 PM,80,58,57,123.9,234.6,0.612
2026/02/25 07:35:44 PM,38.5,62,58,122.9,234.1,0.608
2026/02/25 07:36:14 PM,25.8,60,56,114.9,233.9,0.575
2026/02/25 07:36:44 PM,22.7,55,59,115.1,234,0.573
2026/02/25 07:37:15 PM,35.8,56,59,114.4,234.2,0.587
2026/02/25 07:37:45 PM,19.7,56,59,114,234.1,0.584
2026/02/25 07:38:15 PM,16.4,58,58,115.4,234,0.571
2026/02/25 07:38:45 PM,33.3,56,55,115.9,234.2,0.579
2026/02/25 07:39:16 PM,18.2,56,59,113.8,234,0.6
2026/02/25 07:39:47 PM,27.7,57,56,112.6,233.8,0.566
2026/02/25 07:40:17 PM,87.5,59,57,123.4,233.7,0.611
2026/02/25 07:40:50 PM,54.7,55,57,115.6,234.1,0.585
2026/02/25 07:41:21 PM,63.1,59,57,120.3,234.3,0.601
2026/02/25 07:41:53 PM,29.7,59,56,113,234.3,0.574
2026/02/25 07:42:23 PM,15.2,58,57,111.6,234.2,0.561
2026/02/25 07:42:56 PM,18.2,59,56,112.7,234.5,0.565
2026/02/25 07:43:26 PM,25.8,58,56,112,234.4,0.581
2026/02/25 07:43:59 PM,26.2,55,56,115.6,234.4,0.571
2026/02/25 07:44:29 PM,9.2,57,56,111.1,234.5,0.558
2026/02/25 07:45:02 PM,26.9,58,56,112.8,234.6,0.565
2026/02/25 07:45:32 PM,26.2,58,56,113.5,234.4,0.575
2026/02/25 07:46:04 PM,39.4,57,57,116.1,234.6,0.569
2026/02/25 07:46:35 PM,23.4,55,58,113.7,234.5,0.569
2026/02/25 07:47:07 PM,18.2,55,57,111.8,234.3,0.562
2026/02/25 07:47:38 PM,21.2,55,58,113.7,234.7,0.569
2026/02/25 07:48:10 PM,12.1,53,57,111.2,234.7,0.57
2026/02/25 07:48:40 PM,21.2,57,56,115.9,234.5,0.574
2026/02/25 07:49:13 PM,40.6,56,56,118.3,234.8,0.562
2026/02/25 07:49:43 PM,19.4,55,54,114.7,234.7,0.572
2026/02/25 07:50:16 PM,25,55,56,113.3,234.7,0.567
2026/02/25 07:50:46 PM,54.7,59,55,121.3,234.4,0.597
2026/02/25 07:51:19 PM,30.3,57,59,121.1,234.1,0.581
2026/02/25 07:51:49 PM,42.9,55,58,116.8,234.1,0.583
2026/02/25 07:52:22 PM,18.5,56,57,116.8,234.6,0.582
2026/02/25 07:52:52 PM,16.9,57,56,113.4,234.4,0.565
2026/02/25 07:53:24 PM,23.1,57,54,117.1,234.6,0.569
2026/02/25 07:53:55 PM,10.3,55,55,111,234.3,0.558
2026/02/25 07:54:27 PM,12.1,59,54,110.1,234.1,0.554
2026/02/25 07:54:58 PM,9,57,54,109.9,234.2,0.553
2026/02/25 07:55:30 PM,13.2,59,55,115.1,234,0.576
2026/02/25 07:56:01 PM,12.3,55,56,113.2,234.8,0.562
2026/02/25 07:56:33 PM,12.1,58,56,110.7,235.1,0.555
2026/02/25 07:57:03 PM,21.9,56,57,112.8,235,0.564
2026/02/25 07:57:36 PM,25,56,57,114.5,234.3,0.573
2026/02/25 07:58:06 PM,36.9,56,54,114.3,234.5,0.566
2026/02/25 07:58:39 PM,20.3,57,55,118.3,234.6,0.61
2026/02/25 07:59:09 PM,30.8,56,56,122,234.5,0.605
2026/02/25 07:59:42 PM,12.5,58,56,115.8,234.6,0.578
2026/02/25 08:00:12 PM,9.1,58,55,113.3,234.8,0.567
2026/02/25 08:00:44 PM,19.7,57,56,111.9,232.1,0.567
2026/02/25 08:01:15 PM,34.4,56,57,112.5,231.9,0.567
2026/02/25 08:01:47 PM,12.1,55,56,113.3,232.5,0.57
2026/02/25 08:02:18 PM,25,58,56,114.3,232.4,0.574
2026/02/25 08:02:50 PM,10.8,56,55,113.2,232.2,0.576
2026/02/25 08:03:21 PM,12.3,57,55,112.8,232.3,0.575
2026/02/25 08:03:53 PM,9.2,56,57,115.9,232.6,0.582
2026/02/25 08:04:24 PM,68.8,59,56,112.8,232.3,0.568
2026/02/25 08:04:56 PM,25.8,58,55,111.2,232.3,0.57
2026/02/25 08:05:26 PM,13.8,57,56,114.7,231.9,0.586
2026/02/25 08:05:59 PM,32.8,55,56,116.5,232,0.562
2026/02/25 08:06:29 PM,15.6,57,56,115.8,232,0.581
2026/02/25 08:07:02 PM,23.1,55,58,113.8,232,0.573
2026/02/25 08:07:32 PM,45.5,59,55,114.4,232.2,0.579
2026/02/25 08:08:05 PM,36.9,56,56,112.8,232,0.57
2026/02/25 08:08:35 PM,32.3,55,55,112.1,232.1,0.566
2026/02/25 08:09:08 PM,23.1,57,56,109.4,232.2,0.554
2026/02/25 08:09:38 PM,23.1,55,56,113,232,0.569
2026/02/25 08:10:10 PM,32.8,56,57,114.1,232.4,0.571
2026/02/25 08:10:41 PM,59.7,58,56,117.9,232.5,0.59
2026/02/25 08:11:13 PM,54,59,55,118.2,232.2,0.591
2026/02/25 08:11:44 PM,20.3,56,57,115.7,232.4,0.581
2026/02/25 08:12:16 PM,35.9,56,56,116.3,232.1,0.589
2026/02/25 08:12:47 PM,23.5,56,55,111.9,232.1,0.576
2026/02/25 08:13:19 PM,15.2,59,54,112.3,232.4,0.566
2026/02/25 08:13:49 PM,62.5,57,56,117.7,232.4,0.589
2026/02/25 08:14:22 PM,44.6,56,58,118.8,232.6,0.593
2026/02/25 08:14:52 PM,31.2,57,56,119.2,232.9,0.604
2026/02/25 08:15:25 PM,18.2,58,56,113.1,233.4,0.568
2026/02/25 08:15:55 PM,12.1,59,57,112.8,233.2,0.567
2026/02/25 08:16:28 PM,44.8,56,59,120.1,232.5,0.599
2026/02/25 08:16:58 PM,32.8,57,58,123.9,232.6,0.619
2026/02/25 08:17:31 PM,29.7,58,55,114.5,232.9,0.573
2026/02/25 08:18:01 PM,21.5,55,56,114.6,232.9,0.575
2026/02/25 08:18:33 PM,26.2,55,56,112.7,233.1,0.567
2026/02/25 08:19:04 PM,35.9,56,58,112.2,233,0.565
2026/02/25 08:19:36 PM,12.1,59,54,113.3,232.6,0.569
2026/02/25 08:20:06 PM,30.9,57,56,112.4,233,0.576
2026/02/25 08:20:39 PM,14.1,56,58,113.7,233.1,0.571
2026/02/25 08:21:09 PM,38.5,57,57,112.3,233,0.566
2026/02/25 08:21:42 PM,22.4,58,56,111.6,232.8,0.562
2026/02/25 08:22:12 PM,18.5,54,57,113.3,233.2,0.577
2026/02/25 08:22:45 PM,26.9,56,56,113.9,233,0.571
2026/02/25 08:23:15 PM,16.9,54,55,114.6,232.9,0.575
2026/02/25 08:23:48 PM,21.2,56,57,113.3,232.7,0.569
2026/02/25 08:24:18 PM,19.4,57,55,112.6,232.8,0.568
2026/02/25 08:24:48 PM,20.9,54,53,110.4,232.7,0.569
2026/02/25 08:25:19 PM,30.3,58,55,113.9,231.9,0.58
2026/02/25 08:25:49 PM,33.3,54,57,116.3,232.8,0.589
2026/02/25 08:26:19 PM,15.2,58,55,116,232.9,0.581
2026/02/25 08:26:49 PM,27.3,59,57,115.5,233,0.579
2026/02/25 08:27:20 PM,18.2,59,57,117.6,232.7,0.588
2026/02/25 08:27:50 PM,83.1,56,55,119.3,232.5,0.595
2026/02/25 08:28:21 PM,19.7,56,57,125.1,232.8,0.611
2026/02/25 08:28:51 PM,38.5,59,58,121.5,233,0.604
2026/02/25 08:29:21 PM,26.6,57,56,116.5,232.6,0.583
2026/02/25 08:29:52 PM,27.7,57,56,117.5,232.4,0.588
2026/02/25 08:30:22 PM,16.9,56,59,118.9,232.6,0.593
2026/02/25 08:30:52 PM,26.2,57,58,118.4,232.7,0.579
2026/02/25 08:31:23 PM,33.8,55,58,112.5,233,0.571
2026/02/25 08:31:53 PM,18.2,55,56,114,232.8,0.573
2026/02/25 08:32:23 PM,21.5,59,56,113.7,232.4,0.572
2026/02/25 08:32:54 PM,30.8,59,57,113.6,232.6,0.571
2026/02/25 08:33:24 PM,15.4,58,56,111.7,232.8,0.563
2026/02/25 08:33:54 PM,18.8,56,56,112.5,232.8,0.56
2026/02/25 08:34:24 PM,27.3,55,57,112.8,233,0.565
2026/02/25 08:34:55 PM,27.3,54,57,113.9,232.8,0.569
2026/02/25 08:35:25 PM,13.4,58,56,113,232.7,0.569
2026/02/25 08:35:55 PM,28.8,58,55,114.3,232.9,0.574
2026/02/25 08:36:25 PM,30.8,58,53,115.4,233,0.57
2026/02/25 08:36:57 PM,13.8,53,56,111.5,233,0.56
2026/02/25 08:37:27 PM,22.4,57,54,114.1,232.9,0.573
2026/02/25 08:37:57 PM,30.3,54,55,114.4,232.9,0.574
2026/02/25 08:38:28 PM,16.7,57,56,111.7,233,0.562
2026/02/25 08:38:58 PM,10.6,54,54,112.6,232.9,0.564
2026/02/25 08:39:30 PM,36.9,58,54,113.8,232.8,0.573
2026/02/25 08:40:01 PM,7.7,54,58,112.6,232.8,0.567
2026/02/25 08:40:33 PM,10.6,58,57,117.2,232.8,0.587
2026/02/25 08:41:04 PM,46.3,59,55,114,232.8,0.578
2026/02/25 08:41:36 PM,21.9,54,57,113.7,232.7,0.566
2026/02/25 08:42:07 PM,16.9,55,57,118.3,233,0.597
2026/02/25 08:42:39 PM,18.2,56,58,112.3,233.2,0.565
2026/02/25 08:43:10 PM,25.8,55,58,113.8,232.8,0.572
2026/02/25 08:43:42 PM,24.2,57,53,112.7,232.7,0.571
2026/02/25 08:44:12 PM,17.9,55,55,112.7,232.5,0.577
2026/02/25 08:44:45 PM,46.2,54,57,113.3,232.6,0.561
2026/02/25 08:45:15 PM,17.2,55,56,115,232.5,0.578
2026/02/25 08:45:48 PM,21.9,57,55,115.6,232.7,0.581
2026/02/25 08:46:18 PM,13.4,57,54,113.2,232.8,0.569
2026/02/25 08:46:51 PM,32.8,57,54,111.2,232.8,0.559
2026/02/25 08:47:21 PM,9.4,57,54,114,232.9,0.573
2026/02/25 08:47:54 PM,25.4,55,55,115.5,232.9,0.579
2026/02/25 08:48:24 PM,10.6,58,55,111.7,232.8,0.566
2026/02/25 08:48:56 PM,12.1,55,57,112,232.7,0.567
2026/02/25 08:49:27 PM,22.7,54,56,113.8,233.1,0.573
2026/02/25 08:49:59 PM,30.8,57,54,113.8,232.9,0.572
2026/02/25 08:50:29 PM,40.9,54,55,112.2,232.9,0.565
